model_id,benchmark_id,stage,call_attempts,tokenized_attempts,input_tokens_total,output_tokens_total,tokens_total,tokens_mean,tokens_median,status_counts
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,single_call_cr,1135,1135,614174,279764,893938,787.6105726872247,750,"{""completed"":1135}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,single_call_dcpr,1135,1135,665249,339896,1005145,885.590308370044,841,"{""completed"":1128,""extraction_failure"":7}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,single_call_dcr,1135,1135,655034,291187,946221,833.6748898678414,794,"{""completed"":1135}"
qwen3-coder-30b-a3b-instruct-fp8,bigcodebench_instruct,single_call_dr,1135,1135,639144,283289,922433,812.7162995594714,775,"{""completed"":1135}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,critique_conditioned_revision,161,161,143499,39218,182717,1134.888198757764,1037,"{""completed"":161}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,critique_generation,161,161,64866,66866,131732,818.2111801242236,720,"{""completed"":161}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,direct_generation,163,163,38219,43269,81488,499.92638036809814,423,"{""completed"":161,""extraction_failure"":2}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,direct_revision,161,161,75170,33282,108452,673.6149068322982,636,"{""completed"":161}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,plan_conditioned_revision,161,161,109996,37887,147883,918.527950310559,870,"{""completed"":161}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,refinement_need_decision,161,161,66959,691,67650,420.18633540372673,397,"{""completed"":160,""invalid_response"":1}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,revision_planning,161,161,134966,33818,168784,1048.3478260869565,967,"{""completed"":161}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,single_call_cpr,161,161,80000,97447,177447,1102.1552795031057,994,"{""completed"":155,""extraction_failure"":6}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,single_call_cr,161,161,78229,46748,124977,776.2546583850932,698,"{""completed"":159,""extraction_failure"":2}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,single_call_dcpr,161,161,85474,39199,124673,774.3664596273292,706,"{""completed"":161}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,single_call_dcr,161,161,84025,37143,121168,752.5962732919255,697,"{""completed"":159,""extraction_failure"":2}"
qwen3-coder-30b-a3b-instruct-fp8,humaneval_plus,single_call_dr,161,161,81771,34187,115958,720.2360248447205,670,"{""completed"":161}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,critique_conditioned_revision,378,378,241509,76063,317572,840.1375661375662,778.5,"{""completed"":377,""extraction_failure"":1}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,critique_generation,378,378,102676,111230,213906,565.8888888888889,533.5,"{""completed"":378}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,direct_generation,378,378,57647,69321,126968,335.8941798941799,296.5,"{""completed"":378}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,direct_revision,378,378,126868,61842,188710,499.23280423280426,459.5,"{""completed"":378}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,plan_conditioned_revision,378,378,197275,68337,265612,702.6772486772487,666.0,"{""completed"":378}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,refinement_need_decision,378,378,107590,2252,109842,290.58730158730157,274.5,"{""completed"":365,""invalid_response"":13}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,revision_planning,378,378,221475,68044,289519,765.9232804232804,738.0,"{""completed"":378}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,single_call_cpr,378,378,138208,185153,323361,855.452380952381,784.0,"{""completed"":371,""extraction_failure"":7}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,single_call_cr,378,378,134050,115048,249098,658.989417989418,536.0,"{""completed"":375,""extraction_failure"":3}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,single_call_dcpr,378,378,151060,79124,230184,608.952380952381,544.5,"{""completed"":377,""extraction_failure"":1}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,single_call_dcr,378,378,147658,72995,220653,583.7380952380952,533.5,"{""completed"":369,""extraction_failure"":9}"
qwen3-coder-30b-a3b-instruct-fp8,mbpp_plus,single_call_dr,378,378,142366,68138,210504,556.8888888888889,507.5,"{""completed"":376,""extraction_failure"":2}"
